CONTAINER ID   NAMES                                 STATUS                          PORTS                                                                                                                                   IMAGE
4de27810d154   wamp-queue-worker                     Up 18 seconds (healthy)         9000/tcp                                                                                                                                wamp-stack/php-fpm:8.2
856d648c751e   webapp_core_nginx_fresh               Up About a minute               0.0.0.0:8081->80/tcp, [::]:8081->80/tcp, 0.0.0.0:8444->443/tcp, [::]:8444->443/tcp                                                      nginx:1.25-alpine
949d25f0f619   webapp_core_app_fresh                 Up About a minute (healthy)     9000/tcp                                                                                                                                webapp_core-app
8089b8a5a983   webapp_core_redis_fresh               Up About a minute (healthy)     0.0.0.0:6382->6379/tcp, [::]:6382->6379/tcp                                                                                             redis:7.0-alpine
4597152efb80   wamp-nginx                            Up About a minute (unhealthy)   127.0.0.1:8402->8080/tcp                                                                                                                wamp-stack-wamp-nginx
c3f0b8cab05a   webapp_core_db_fresh                  Up 2 minutes (healthy)          0.0.0.0:3308->3306/tcp, [::]:3308->3306/tcp                                                                                             mysql:8.0
1288be7c5736   infra-vault-1                         Up 2 minutes (healthy)          127.0.0.1:8200->8200/tcp                                                                                                                hashicorp/vault:1.15
1dff1b9e2595   webapp-reverb-staging                 Up 3 minutes (healthy)          6001/tcp, 9000/tcp                                                                                                                      wamp-stack/php-fpm:8.2
721491c61114   wamp-php-fpm                          Up 14 minutes (healthy)         9000/tcp                                                                                                                                wamp-stack/php-fpm:8.2
c3fb61495b8b   infra-fleet-api-1                     Up 5 minutes (healthy)          8000/tcp                                                                                                                                fleet-api:latest
4116e1dc8b50   kb_search_api                         Up 15 minutes (healthy)         0.0.0.0:8001->8000/tcp, [::]:8001->8000/tcp                                                                                             kb-phase0-search-api
eadfb4067087   bifrost                               Up 15 minutes (healthy)         0.0.0.0:8160->8000/tcp, [::]:8160->8000/tcp                                                                                             raf-com/bifrost:latest
1c62858f0248   infra-fleet-coordinator-1             Up 27 minutes (healthy)                                                                                                                                                 infra-fleet-coordinator
9886cf9aff87   apex-pgbouncer                        Up 29 minutes (healthy)         127.0.0.1:6432->5432/tcp                                                                                                                edoburu/pgbouncer:latest
63808d6573e3   wamp-php-fpm-exporter                 Up 29 minutes (healthy)         9253/tcp                                                                                                                                hipages/php-fpm_exporter:2.2.0
1238b9d1185f   kb_nginx                              Up 30 minutes                   0.0.0.0:8451->80/tcp, [::]:8451->80/tcp                                                                                                 nginx:1.25-alpine
10d8c977e922   kb_postgres_exporter                  Up 30 minutes                   0.0.0.0:9187->9187/tcp, [::]:9187->9187/tcp                                                                                             prometheuscommunity/postgres-exporter:v0.15.0
e6a8c64071ba   kb_redis_exporter                     Up 30 minutes                   0.0.0.0:9121->9121/tcp, [::]:9121->9121/tcp                                                                                             oliver006/redis_exporter:v1.59.0
d9ce144a7547   kb_grafana                            Up 30 minutes                   0.0.0.0:3002->3000/tcp, [::]:3002->3000/tcp                                                                                             grafana/grafana:10.4.0
f742edce598f   kb_postgresql                         Up 30 minutes (healthy)         0.0.0.0:5434->5432/tcp, [::]:5434->5432/tcp                                                                                             postgres:15-alpine
c5d152274fea   kb_prometheus                         Up 30 minutes                   0.0.0.0:9095->9090/tcp, [::]:9095->9090/tcp                                                                                             prom/prometheus:v2.51.0
483449afbe9f   kb_redis                              Up 30 minutes (healthy)         0.0.0.0:6380->6379/tcp, [::]:6380->6379/tcp                                                                                             redis:7-alpine
5773ed745e75   kb_meilisearch                        Up 30 minutes (healthy)         0.0.0.0:7702->7700/tcp, [::]:7702->7700/tcp                                                                                             getmeili/meilisearch:v1.11.3
b787b4e1b619   kb_qdrant                             Up 30 minutes                   0.0.0.0:6337->6333/tcp, [::]:6337->6333/tcp, 0.0.0.0:6338->6334/tcp, [::]:6338->6334/tcp                                                qdrant/qdrant:v1.9.2
eb904a1e5915   webapp-php-fpm-staging                Up 30 minutes (healthy)         9000/tcp                                                                                                                                webapp_core-app
4598779c709c   service-image                         Up 37 minutes (healthy)         80/tcp, 9000/tcp                                                                                                                        webapp_core_services-service-image
c26178d45691   openmythos-api                        Up 40 minutes (healthy)         0.0.0.0:8400->8400/tcp, [::]:8400->8400/tcp                                                                                             openmythos-local-prod:latest
0bd524adee3c   service-image-fpm-exporter            Up 36 minutes                   127.0.0.1:9502->9253/tcp                                                                                                                hipages/php-fpm_exporter:2.2.0
40e6ebccd32e   infra-edge-vault-1                    Up 50 minutes (healthy)         127.0.0.1:8201->8200/tcp                                                                                                                hashicorp/vault:1.15
a7dee233bd89   infra-redis-1                         Up 37 minutes (healthy)         127.0.0.1:6379->6379/tcp                                                                                                                redis:7.2.5-alpine
adebacd93a63   infra-postgres-1                      Up 52 minutes (healthy)         127.0.0.1:55432->5432/tcp                                                                                                               postgres:16.4-alpine
abfa94bd93cd   webapp-database-staging               Up 59 minutes (healthy)         3306/tcp, 33060/tcp                                                                                                                     mysql:8.0
7e4aa6afd01b   kb_search_qdrant                      Up 59 minutes (healthy)         0.0.0.0:6335->6333/tcp, [::]:6335->6333/tcp                                                                                             qdrant/qdrant:latest
c79020c48cb3   prompt-evolution-engine               Up About an hour (healthy)      0.0.0.0:8130->8100/tcp, [::]:8130->8100/tcp                                                                                             prompt-evolution-engine-prompt-evolution-engine
5b1b298214cc   zero-frontend-stack                   Up About an hour (healthy)      0.0.0.0:8150->8000/tcp, [::]:8150->8000/tcp                                                                                             zero-frontend-stack-web
428089a8afab   apex-litellm                          Up About an hour (healthy)      0.0.0.0:4000->4000/tcp, [::]:4000->4000/tcp                                                                                             ghcr.io/berriai/litellm:main-latest
872dbe77a45d   apex-phoenix                          Up 3 hours                      0.0.0.0:6006->6006/tcp, [::]:6006->6006/tcp                                                                                             arizephoenix/phoenix:latest
722de5ef7361   localstack-bridge                     Up 3 hours                                                                                                                                                              alpine:latest
b488d95bf25f   localstack-hybrid                     Up 3 hours (healthy)            0.0.0.0:4566->4566/tcp, [::]:4566->4566/tcp, 0.0.0.0:4571->4571/tcp, [::]:4571->4571/tcp, 0.0.0.0:4574->4574/tcp, [::]:4574->4574/tcp   localstack/localstack:3.0.0
e4aae448c70d   infra-grafana-1                       Up 4 hours (healthy)            127.0.0.1:3000->3000/tcp                                                                                                                grafana/grafana:latest
ac25966a7a68   infra-qdrant-1                        Up 4 hours (healthy)            127.0.0.1:6333-6334->6333-6334/tcp                                                                                                      qdrant/qdrant:v1.11.0
076546f73cc3   pkg-trae-agent                        Up 4 hours (healthy)            0.0.0.0:8120->8100/tcp, [::]:8120->8100/tcp                                                                                             pkg-trae-agent-trae-agent
f9eb598788f7   webapp-grafana-staging                Up 4 hours                      0.0.0.0:3001->3000/tcp, [::]:3001->3000/tcp                                                                                             grafana/grafana:latest
05e911398546   webapp-nginx-exporter-staging         Up 4 hours                                                                                                                                                              nginx/nginx-prometheus-exporter:latest
4674be35155d   webapp-prometheus-staging             Up 4 hours                      0.0.0.0:9091->9090/tcp, [::]:9091->9090/tcp                                                                                             prom/prometheus:latest
709e97a78c1e   webapp-alertmanager-staging           Up 4 hours                      0.0.0.0:9094->9093/tcp, [::]:9094->9093/tcp                                                                                             prom/alertmanager:latest
0960ef12a072   webapp-redis-exporter-staging         Up 4 hours                      9121/tcp                                                                                                                                oliver006/redis_exporter:latest
79ff7a381dc1   department_marketing_app              Up 4 hours                      9000/tcp                                                                                                                                department_marketing-app
5b2614dc826f   department_marketing_nginx            Up 4 hours                      0.0.0.0:8000->80/tcp, [::]:8000->80/tcp                                                                                                 nginx:alpine
43e39afe7120   department_marketing_db               Up 4 hours                      0.0.0.0:3307->3306/tcp, [::]:3307->3306/tcp                                                                                             mysql:8.0
2e72142762bb   department_marketing_redis            Up 4 hours                      0.0.0.0:6390->6379/tcp, [::]:6390->6379/tcp                                                                                             redis:alpine
32bb6752662c   automation-master                     Up 4 hours (healthy)            0.0.0.0:8110->8000/tcp, [::]:8110->8000/tcp                                                                                             raf-com/automation-master:latest
5a8c83e4434f   service-elasticsearch                 Up 4 hours (healthy)            0.0.0.0:8465->8200/tcp, [::]:8465->8200/tcp                                                                                             service-elasticsearch:local
e9df4cdf99ad   service-elasticsearch-es              Up 4 hours (healthy)            127.0.0.1:9200->9200/tcp                                                                                                                elasticsearch:8.15.3
e522fe21952c   service-elasticsearch-meili           Up 4 hours                      127.0.0.1:7700->7700/tcp                                                                                                                getmeili/meilisearch:v1.10
5cf1839f52ef   infra-edge-traefik-1                  Up 4 hours (healthy)            0.0.0.0:80->80/tcp, [::]:80->80/tcp, 0.0.0.0:443->443/tcp, [::]:443->443/tcp, 127.0.0.1:8088->8080/tcp                                  traefik:v3.1
5512738050ac   infra-edge-docker-socket-proxy-1      Up 4 hours (healthy)            2375/tcp                                                                                                                                tecnativa/docker-socket-proxy:latest
db7481b10cc0   infra-prometheus-1                    Up 48 minutes (healthy)         127.0.0.1:9090->9090/tcp                                                                                                                prom/prometheus:latest
984fb930b873   services-proxy                        Up 4 hours (healthy)            127.0.0.1:8500->80/tcp                                                                                                                  nginx:1.25-alpine
2f681f4008e9   customer-service-gateway              Up 4 hours (healthy)            127.0.0.1:3101->3100/tcp                                                                                                                customer-service-gateway:local
2a2534af66b1   kb_search_api_service                 Up 4 hours (healthy)            0.0.0.0:8010->8000/tcp, [::]:8010->8000/tcp                                                                                             kb-search-api-search-api
1a5b099e94d8   kb_search_redis                       Up 4 hours (healthy)            0.0.0.0:6381->6379/tcp, [::]:6381->6379/tcp                                                                                             redis:7-alpine
6819f5b6148e   kb_search_postgresql                  Up 4 hours (healthy)            0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp                                                                                             postgres:15-alpine
304cae3b6024   kb_search_meilisearch                 Up 4 hours (healthy)            0.0.0.0:7701->7700/tcp, [::]:7701->7700/tcp                                                                                             getmeili/meilisearch:v1.7.0
c8f1810837d9   wamp-scheduler                        Up 4 hours (healthy)            9000/tcp                                                                                                                                7d38a195d5d0
f021ccbde98e   wamp-nginx-exporter                   Up 4 hours                                                                                                                                                              nginx/nginx-prometheus-exporter:1.3
b3a18e01b1f0   wamp-vault-agent                      Up 4 hours (healthy)            8200/tcp                                                                                                                                hashicorp/vault:1.15
b5f1c457e380   wamp-redis-exporter                   Up 4 hours (healthy)            9121/tcp                                                                                                                                oliver006/redis_exporter:v1.62.0-alpine
8dacca295c4b   infra-promtail                        Up 4 hours                      127.0.0.1:9080->9080/tcp                                                                                                                grafana/promtail:latest
9c852259305e   infra-loki                            Up 4 hours                      127.0.0.1:3100->3100/tcp                                                                                                                grafana/loki:latest
da6c6dd9f41f   lambda-automation-init                Up 4 hours                      0.0.0.0:9006->8080/tcp, [::]:9006->8080/tcp                                                                                             localhost:5000/automation-init:latest
a4195db1a6f5   infra-alertmanager                    Up 4 hours                      127.0.0.1:9093->9093/tcp                                                                                                                prom/alertmanager:latest
2eaf19fef0a0   lambda-automation-eval                Up 4 hours                      0.0.0.0:9004->8080/tcp, [::]:9004->8080/tcp                                                                                             localhost:5000/automation-eval:latest
842f5436c3fa   lambda-automation-roadmap-generator   Up 4 hours                      0.0.0.0:9007->8080/tcp, [::]:9007->8080/tcp                                                                                             localhost:5000/automation-roadmap-generator:latest
69f0bcc2117e   lambda-automation-smart-roadmap       Up 4 hours                      0.0.0.0:9009->8080/tcp, [::]:9009->8080/tcp                                                                                             localhost:5000/automation-smart-roadmap:latest
582c5753ddc7   lambda-automation-eval-response       Up 4 hours                      0.0.0.0:9005->8080/tcp, [::]:9005->8080/tcp                                                                                             localhost:5000/automation-eval-response:latest
e8b04c75ce63   lambda-firecrawl-python               Up 4 hours                      0.0.0.0:9001->8080/tcp, [::]:9001->8080/tcp                                                                                             localhost:5000/automation-firecrawl-python:latest
76cfef2a97da   lambda-automation-skill-loader        Up 4 hours                      0.0.0.0:9008->8080/tcp, [::]:9008->8080/tcp                                                                                             localhost:5000/automation-skill-loader:latest
44980114f3ba   lambda-firecrawl-js                   Up 4 hours                      0.0.0.0:9002->8080/tcp, [::]:9002->8080/tcp                                                                                             localhost:5000/automation-firecrawl-js:latest
11ab8520c65e   lambda-automation-client              Up 4 hours                      0.0.0.0:9003->8080/tcp, [::]:9003->8080/tcp                                                                                             localhost:5000/automation-client:latest
8b299d5a91cc   lambda-migration-registry             Up 4 hours                      0.0.0.0:5000->5000/tcp, [::]:5000->5000/tcp                                                                                             registry:2
