source_doc	label	target_raw	target_resolved	exists
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	feedback_no_fabricated_execution.md	C:/Users/ajame/.claude/projects/C--/memory/feedback_no_fabricated_execution.md	C:\\Users\\ajame\\.claude\\projects\\C--\\memory\\feedback_no_fabricated_execution.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	EXECUTION_POLICY.md	C:/Users/ajame/.claude/projects/C--/EXECUTION_POLICY.md	C:\\Users\\ajame\\.claude\\projects\\C--\\EXECUTION_POLICY.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	HONEST_INFRASTRUCTURE_REVIEW_2026-04-18.md	C:/Users/ajame/.claude/projects/C--/HONEST_INFRASTRUCTURE_REVIEW_2026-04-18.md	C:\\Users\\ajame\\.claude\\projects\\C--\\HONEST_INFRASTRUCTURE_REVIEW_2026-04-18.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	PROFILE_REPORT_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/PROFILE_REPORT_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\PROFILE_REPORT_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	phase1_scope_and_criteria_2026-04-20_081534.txt	C:/kb-search-api/evidence/nine_phase_2026-04-20/phase1_scope_and_criteria_2026-04-20_081534.txt	C:\\kb-search-api\\evidence\\nine_phase_2026-04-20\\phase1_scope_and_criteria_2026-04-20_081534.txt	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	phase2_runtime_counts_2026-04-20_081658.txt	C:/kb-search-api/evidence/nine_phase_2026-04-20/phase2_runtime_counts_2026-04-20_081658.txt	C:\\kb-search-api\\evidence\\nine_phase_2026-04-20\\phase2_runtime_counts_2026-04-20_081658.txt	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	phase2_runtime_health_checks_2026-04-20_081658.tsv	C:/kb-search-api/evidence/nine_phase_2026-04-20/phase2_runtime_health_checks_2026-04-20_081658.tsv	C:\\kb-search-api\\evidence\\nine_phase_2026-04-20\\phase2_runtime_health_checks_2026-04-20_081658.tsv	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	phase3_repo_summary_2026-04-20_081818.tsv	C:/kb-search-api/evidence/nine_phase_2026-04-20/phase3_repo_summary_2026-04-20_081818.tsv	C:\\kb-search-api\\evidence\\nine_phase_2026-04-20\\phase3_repo_summary_2026-04-20_081818.tsv	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	phase3_repo_details_2026-04-20_081818.txt	C:/kb-search-api/evidence/nine_phase_2026-04-20/phase3_repo_details_2026-04-20_081818.txt	C:\\kb-search-api\\evidence\\nine_phase_2026-04-20\\phase3_repo_details_2026-04-20_081818.txt	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	phase4_activity_summary_2026-04-20_081938.txt	C:/kb-search-api/evidence/nine_phase_2026-04-20/phase4_activity_summary_2026-04-20_081938.txt	C:\\kb-search-api\\evidence\\nine_phase_2026-04-20\\phase4_activity_summary_2026-04-20_081938.txt	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	phase4_extension_counts_2026-04-20_081938.tsv	C:/kb-search-api/evidence/nine_phase_2026-04-20/phase4_extension_counts_2026-04-20_081938.tsv	C:\\kb-search-api\\evidence\\nine_phase_2026-04-20\\phase4_extension_counts_2026-04-20_081938.tsv	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	phase5_link_validation_2026-04-20_082102.tsv	C:/kb-search-api/evidence/nine_phase_2026-04-20/phase5_link_validation_2026-04-20_082102.tsv	C:\\kb-search-api\\evidence\\nine_phase_2026-04-20\\phase5_link_validation_2026-04-20_082102.tsv	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	phase5_claim_classification_2026-04-20_082102.tsv	C:/kb-search-api/evidence/nine_phase_2026-04-20/phase5_claim_classification_2026-04-20_082102.tsv	C:\\kb-search-api\\evidence\\nine_phase_2026-04-20\\phase5_claim_classification_2026-04-20_082102.tsv	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	C:/kb-search-api/CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	C:\\kb-search-api\\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	NEXT_100_STEPS_9_PHASES_2026-04-20.md	C:/kb-search-api/NEXT_100_STEPS_9_PHASES_2026-04-20.md	C:\\kb-search-api\\NEXT_100_STEPS_9_PHASES_2026-04-20.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	phase4_activity_summary_2026-04-20_081938.txt	C:/kb-search-api/evidence/nine_phase_2026-04-20/phase4_activity_summary_2026-04-20_081938.txt	C:\\kb-search-api\\evidence\\nine_phase_2026-04-20\\phase4_activity_summary_2026-04-20_081938.txt	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	phase2_runtime_counts_2026-04-20_081658.txt	C:/kb-search-api/evidence/nine_phase_2026-04-20/phase2_runtime_counts_2026-04-20_081658.txt	C:\\kb-search-api\\evidence\\nine_phase_2026-04-20\\phase2_runtime_counts_2026-04-20_081658.txt	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	phase2_runtime_health_checks_2026-04-20_081658.tsv	C:/kb-search-api/evidence/nine_phase_2026-04-20/phase2_runtime_health_checks_2026-04-20_081658.tsv	C:\\kb-search-api\\evidence\\nine_phase_2026-04-20\\phase2_runtime_health_checks_2026-04-20_081658.tsv	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	phase3_repo_summary_2026-04-20_081818.tsv	C:/kb-search-api/evidence/nine_phase_2026-04-20/phase3_repo_summary_2026-04-20_081818.tsv	C:\\kb-search-api\\evidence\\nine_phase_2026-04-20\\phase3_repo_summary_2026-04-20_081818.tsv	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	phase5_link_validation_2026-04-20_082102.tsv	C:/kb-search-api/evidence/nine_phase_2026-04-20/phase5_link_validation_2026-04-20_082102.tsv	C:\\kb-search-api\\evidence\\nine_phase_2026-04-20\\phase5_link_validation_2026-04-20_082102.tsv	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	phase5_claim_classification_2026-04-20_082102.tsv	C:/kb-search-api/evidence/nine_phase_2026-04-20/phase5_claim_classification_2026-04-20_082102.tsv	C:\\kb-search-api\\evidence\\nine_phase_2026-04-20\\phase5_claim_classification_2026-04-20_082102.tsv	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	C:/kb-search-api/CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	C:\\kb-search-api\\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	NEXT_100_STEPS_9_PHASES_2026-04-20.md	C:/kb-search-api/NEXT_100_STEPS_9_PHASES_2026-04-20.md	C:\\kb-search-api\\NEXT_100_STEPS_9_PHASES_2026-04-20.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	nine_phase_2026-04-20	C:/kb-search-api/evidence/nine_phase_2026-04-20	C:\\kb-search-api\\evidence\\nine_phase_2026-04-20	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	C:/kb-search-api/CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	C:\\kb-search-api\\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20_VERIFIED.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	feedback_no_fabricated_execution.md	C:/Users/ajame/.claude/projects/C--/memory/feedback_no_fabricated_execution.md	C:\\Users\\ajame\\.claude\\projects\\C--\\memory\\feedback_no_fabricated_execution.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	EXECUTION_POLICY.md	C:/Users/ajame/.claude/projects/C--/EXECUTION_POLICY.md	C:\\Users\\ajame\\.claude\\projects\\C--\\EXECUTION_POLICY.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	HONEST_INFRASTRUCTURE_REVIEW_2026-04-18.md	C:/Users/ajame/.claude/projects/C--/HONEST_INFRASTRUCTURE_REVIEW_2026-04-18.md	C:\\Users\\ajame\\.claude\\projects\\C--\\HONEST_INFRASTRUCTURE_REVIEW_2026-04-18.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	PROFILE_REPORT_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/PROFILE_REPORT_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\PROFILE_REPORT_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	DRIFT_TRIAGE_REPORT.md	C:/Users/ajame/.claude/projects/C--/DRIFT_TRIAGE_REPORT.md	C:\\Users\\ajame\\.claude\\projects\\C--\\DRIFT_TRIAGE_REPORT.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	INFRA_VERIFICATION_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/INFRA_VERIFICATION_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\INFRA_VERIFICATION_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	DISPOSITION_RECOMMENDATIONS_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/DISPOSITION_RECOMMENDATIONS_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\DISPOSITION_RECOMMENDATIONS_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	DISPOSITIONS_EXECUTED_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/DISPOSITIONS_EXECUTED_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\DISPOSITIONS_EXECUTED_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	DISPOSITIONS_FINALIZED_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/DISPOSITIONS_FINALIZED_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\DISPOSITIONS_FINALIZED_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	BLOCKERS_AND_NEXT_STEPS_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/BLOCKERS_AND_NEXT_STEPS_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\BLOCKERS_AND_NEXT_STEPS_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	feedback_no_fabricated_execution.md	C:/Users/ajame/.claude/projects/C--/memory/feedback_no_fabricated_execution.md	C:\\Users\\ajame\\.claude\\projects\\C--\\memory\\feedback_no_fabricated_execution.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	EXECUTION_POLICY.md	C:/Users/ajame/.claude/projects/C--/EXECUTION_POLICY.md	C:\\Users\\ajame\\.claude\\projects\\C--\\EXECUTION_POLICY.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	HONEST_INFRASTRUCTURE_REVIEW_2026-04-18.md	C:/Users/ajame/.claude/projects/C--/HONEST_INFRASTRUCTURE_REVIEW_2026-04-18.md	C:\\Users\\ajame\\.claude\\projects\\C--\\HONEST_INFRASTRUCTURE_REVIEW_2026-04-18.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	PROFILE_REPORT_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/PROFILE_REPORT_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\PROFILE_REPORT_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	DRIFT_TRIAGE_REPORT.md	C:/Users/ajame/.claude/projects/C--/DRIFT_TRIAGE_REPORT.md	C:\\Users\\ajame\\.claude\\projects\\C--\\DRIFT_TRIAGE_REPORT.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	GRAVEYARD_MANIFEST_2026-04-18.md	C:/Users/ajame/.claude/projects/C--/GRAVEYARD_MANIFEST_2026-04-18.md	C:\\Users\\ajame\\.claude\\projects\\C--\\GRAVEYARD_MANIFEST_2026-04-18.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	GRAVEYARD_MANIFEST_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/GRAVEYARD_MANIFEST_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\GRAVEYARD_MANIFEST_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	INFRA_VERIFICATION_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/INFRA_VERIFICATION_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\INFRA_VERIFICATION_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	FINAL_INFRASTRUCTURE_SNAPSHOT_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/FINAL_INFRASTRUCTURE_SNAPSHOT_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\FINAL_INFRASTRUCTURE_SNAPSHOT_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	SERVICE_MESH_INVENTORY_AND_PLAN_2026-04-18.md	C:/Users/ajame/.claude/projects/C--/SERVICE_MESH_INVENTORY_AND_PLAN_2026-04-18.md	C:\\Users\\ajame\\.claude\\projects\\C--\\SERVICE_MESH_INVENTORY_AND_PLAN_2026-04-18.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	PHASE_C_UNBLOCK_REPORT_2026-04-20.md	C:/Users/ajame/.claude/projects/C--/PHASE_C_UNBLOCK_REPORT_2026-04-20.md	C:\\Users\\ajame\\.claude\\projects\\C--\\PHASE_C_UNBLOCK_REPORT_2026-04-20.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	DISPOSITION_RECOMMENDATIONS_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/DISPOSITION_RECOMMENDATIONS_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\DISPOSITION_RECOMMENDATIONS_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	DISPOSITIONS_EXECUTED_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/DISPOSITIONS_EXECUTED_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\DISPOSITIONS_EXECUTED_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	DISPOSITIONS_FINALIZED_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/DISPOSITIONS_FINALIZED_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\DISPOSITIONS_FINALIZED_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	FINAL_GIT_LOG_REVIEW_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/FINAL_GIT_LOG_REVIEW_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\FINAL_GIT_LOG_REVIEW_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	30_STEP_PLAN_PROGRESS_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/30_STEP_PLAN_PROGRESS_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\30_STEP_PLAN_PROGRESS_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	30_STEP_COMPLETION_SNAPSHOT_2026-04-20.md	C:/Users/ajame/.claude/projects/C--/30_STEP_COMPLETION_SNAPSHOT_2026-04-20.md	C:\\Users\\ajame\\.claude\\projects\\C--\\30_STEP_COMPLETION_SNAPSHOT_2026-04-20.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	PHASE_2_COMPLETION_SUMMARY_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/PHASE_2_COMPLETION_SUMMARY_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\PHASE_2_COMPLETION_SUMMARY_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	PHASE_3_AUTOMATION_INTEGRATION_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/PHASE_3_AUTOMATION_INTEGRATION_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\PHASE_3_AUTOMATION_INTEGRATION_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	PHASE_4_INFRASTRUCTURE_STABILIZATION_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/PHASE_4_INFRASTRUCTURE_STABILIZATION_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\PHASE_4_INFRASTRUCTURE_STABILIZATION_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	PHASE_5_MONITORING_COMPLIANCE_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/PHASE_5_MONITORING_COMPLIANCE_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\PHASE_5_MONITORING_COMPLIANCE_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	PHASE_6_CAMPAIGN_CLOSURE_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/PHASE_6_CAMPAIGN_CLOSURE_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\PHASE_6_CAMPAIGN_CLOSURE_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	BLOCKERS_AND_NEXT_STEPS_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/BLOCKERS_AND_NEXT_STEPS_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\BLOCKERS_AND_NEXT_STEPS_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	SESSION_FINAL_SUMMARY_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/SESSION_FINAL_SUMMARY_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\SESSION_FINAL_SUMMARY_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	SECRETS_MANAGEMENT_2026-04-20.md	C:/Users/ajame/.claude/projects/C--/SECRETS_MANAGEMENT_2026-04-20.md	C:\\Users\\ajame\\.claude\\projects\\C--\\SECRETS_MANAGEMENT_2026-04-20.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	PHASE_C_UNBLOCK_REPORT_2026-04-20.md	C:/Users/ajame/.claude/projects/C--/PHASE_C_UNBLOCK_REPORT_2026-04-20.md	C:\\Users\\ajame\\.claude\\projects\\C--\\PHASE_C_UNBLOCK_REPORT_2026-04-20.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	30_STEP_COMPLETION_SNAPSHOT_2026-04-20.md	C:/Users/ajame/.claude/projects/C--/30_STEP_COMPLETION_SNAPSHOT_2026-04-20.md	C:\\Users\\ajame\\.claude\\projects\\C--\\30_STEP_COMPLETION_SNAPSHOT_2026-04-20.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	SECRETS_MANAGEMENT_2026-04-20.md	C:/Users/ajame/.claude/projects/C--/SECRETS_MANAGEMENT_2026-04-20.md	C:\\Users\\ajame\\.claude\\projects\\C--\\SECRETS_MANAGEMENT_2026-04-20.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	PHASE_2_COMPLETION_SUMMARY_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/PHASE_2_COMPLETION_SUMMARY_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\PHASE_2_COMPLETION_SUMMARY_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	BLOCKERS_AND_NEXT_STEPS_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/BLOCKERS_AND_NEXT_STEPS_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\BLOCKERS_AND_NEXT_STEPS_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	SESSION_FINAL_SUMMARY_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/SESSION_FINAL_SUMMARY_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\SESSION_FINAL_SUMMARY_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	DOCUMENTATION_COMPLETION_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/DOCUMENTATION_COMPLETION_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\DOCUMENTATION_COMPLETION_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	SESSION_SUMMARY_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/SESSION_SUMMARY_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\SESSION_SUMMARY_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	FINAL_GIT_LOG_REVIEW_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/FINAL_GIT_LOG_REVIEW_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\FINAL_GIT_LOG_REVIEW_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	DISPOSITIONS_FINALIZED_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/DISPOSITIONS_FINALIZED_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\DISPOSITIONS_FINALIZED_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	DISPOSITIONS_EXECUTED_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/DISPOSITIONS_EXECUTED_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\DISPOSITIONS_EXECUTED_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	DISPOSITION_RECOMMENDATIONS_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/DISPOSITION_RECOMMENDATIONS_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\DISPOSITION_RECOMMENDATIONS_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	PROFILE_REPORT_2026-04-19.md	C:/Users/ajame/.claude/projects/C--/PROFILE_REPORT_2026-04-19.md	C:\\Users\\ajame\\.claude\\projects\\C--\\PROFILE_REPORT_2026-04-19.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	DRIFT_TRIAGE_REPORT.md	C:/Users/ajame/.claude/projects/C--/DRIFT_TRIAGE_REPORT.md	C:\\Users\\ajame\\.claude\\projects\\C--\\DRIFT_TRIAGE_REPORT.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	HONEST_INFRASTRUCTURE_REVIEW_2026-04-18.md	C:/Users/ajame/.claude/projects/C--/HONEST_INFRASTRUCTURE_REVIEW_2026-04-18.md	C:\\Users\\ajame\\.claude\\projects\\C--\\HONEST_INFRASTRUCTURE_REVIEW_2026-04-18.md	YES
C:\kb-search-api\CLAUDE_WEEKLY_MASTER_INDEX_2026-04-20.md	1c1fd945-fe57-4ad5-82b1-37e89a3b2ca3.jsonl	C:/Users/ajame/.claude/projects/C--/1c1fd945-fe57-4ad5-82b1-37e89a3b2ca3.jsonl	C:\\Users\\ajame\\.claude\\projects\\C--\\1c1fd945-fe57-4ad5-82b1-37e89a3b2ca3.jsonl	YES
