path	size_bytes	last_write	sha256
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase1_scope_and_criteria_2026-04-20_081534.txt	1397	2026-04-20T08:25:47.2172169-05:00	BDB72780299A75BA330FDF638118B987FF856F40CB5D6B169D74CC7AD1E34211
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase2_runtime_counts_2026-04-20_081627.txt	228	2026-04-20T08:25:47.2187356-05:00	0E84D83EC20EFF71EE4B478EB6CF97DA234814A7C3AFA81F25D7B07367D924F9
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase2_runtime_counts_2026-04-20_081658.txt	228	2026-04-20T08:25:47.2226623-05:00	E3D1CEE042937AF57E4876196DC57A89FBC589F074E820AF7BD93C4E9DF0BF8A
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase2_runtime_docker_ps_2026-04-20_081627.txt	20892	2026-04-20T08:25:47.2252636-05:00	38BC7A0C0E69E0B7B0119F6A65CC7B7BCA6E5861059613DDA7F5A7CC749C45B0
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase2_runtime_docker_ps_2026-04-20_081658.txt	20318	2026-04-20T08:25:47.2273669-05:00	11211C3120EE1B01D8D14FFFC813CAAA9C5883256A5B491EE6B5CADF53D33493
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase2_runtime_health_checks_2026-04-20_081627.tsv	30	2026-04-20T08:25:47.2295361-05:00	416C141640510E7AC3563E0F1FD73063F985618B70CB1D395EAAD7C9A4D8FE66
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase2_runtime_health_checks_2026-04-20_081658.tsv	1234	2026-04-20T08:25:47.2319213-05:00	8ABC9DF9DA7443791FD53224FA927BACBBF9AF0381C1BF77D6F8DD374C00EEF4
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase3_repo_details_2026-04-20_081818.txt	2157350	2026-04-20T08:25:47.2437814-05:00	21AAA7D467D6F21F7D9750203C92204719CB707E8585BD57ECEA6AAE2C35A11F
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase3_repo_summary_2026-04-20_081818.tsv	2448	2026-04-20T08:25:47.2460356-05:00	6C128E8B06371CE5B348451DF632F6A9C605394F78A3A92DAFFC23580D308C33
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase4_activity_summary_2026-04-20_081938.txt	581	2026-04-20T08:25:47.2486018-05:00	6EEEC2962C470491672FC8F3FDC87D7FB0EAF02798720A24213107F61D025847
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase4_extension_counts_2026-04-20_081938.tsv	166	2026-04-20T08:25:47.2513440-05:00	245F2980851290BDB26097C1DE16105E1C75C2BF18C2E3C26851FEF4C80C7D99
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase4_recent_commits_2026-04-20_081938.tsv	17025	2026-04-20T08:25:47.2539252-05:00	AA1DD610DA09AC8FF67C689C3D9B6E965031826A829B15B36FA916853FF4E6E5
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase4_recent_files_2026-04-20_081938.tsv	55508	2026-04-20T08:25:47.2570661-05:00	7D4DB87B234620D5F65C970930C58A8C767AD112EB591E3D39BF845F94DBC450
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase5_claim_classification_2026-04-20_082102.tsv	1672	2026-04-20T08:25:47.2599662-05:00	E6716F1895E21D93790DCA5BFBC4B529370DFBEEBD58573465C21F17081E1C05
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase5_link_validation_2026-04-20_082102.tsv	8168	2026-04-20T08:25:47.2627199-05:00	0DFD4F91F271B269C01BE833142D7FBC355CBC52CC9BD8A93609A1FE31984D50
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase7_doc_hash_manifest_2026-04-20_082416.tsv	526	2026-04-20T08:25:47.2646781-05:00	EA50D6AC4A66316F5C72C5F2CF0DBC33CFC0061F33F4EA3CFA8B060D429FDA3C
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase7_doc_link_check_2026-04-20_082416.tsv	21482	2026-04-20T08:25:47.2680612-05:00	5C0B204DC67B333D5D8DF64BA18D6DD02AEF55DD209D537EAACF2CB500C0D40F
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase7_doc_verification_summary_2026-04-20_082416.txt	466	2026-04-20T08:25:47.2707301-05:00	925F407172923376A561F399A256A026500FA3844F7BEC4E93C37D7DE368AC42
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase8_commit_output_2026-04-20_082527.txt	4293	2026-04-20T08:25:28.9037563-05:00	98E8FF413548AD3DCBD90C68DCA5EA0A06BCEC44977FFA3C0A04FE5AAE588D84
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase8_merge_to_main_2026-04-20_082544.txt	8313	2026-04-20T08:25:47.5336366-05:00	E2139A63EE47B84C59DE503D910CA715602ED836BF342BD603AAA7998E2ECF68
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase8_post_push_state_2026-04-20_082606.txt	866	2026-04-20T08:26:06.9781312-05:00	014D1562FDA27BE47B9CBDE84874B878FA43D7ACB1A4D1AC1664837961B23DB3
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase8_precommit_diffstat_2026-04-20_082513.txt	924	2026-04-20T08:25:47.2728267-05:00	9DF989F8D824DBE95254470F94B540084B147B347B97666AA8254DB36A4DC2CC
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase8_precommit_status_2026-04-20_082513.txt	1956	2026-04-20T08:25:47.2755975-05:00	D34CAD91E532D32EC9E09A46D61337C251105393D66E71EA31B1F6B07AEEDF6D
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase8_push_main_2026-04-20_082544.txt	84	2026-04-20T08:25:49.1909976-05:00	AA20978A102B29A5DC40EC7B7A3C71294FB59093E7DAE4A52B3844292ED66844
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase8_push_test_case5_2026-04-20_082544.txt	98	2026-04-20T08:25:46.6336033-05:00	FD2A0EA50D36465BB787220EC300BC577C8B210FDF79E419602B6734D9E8E588
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase8_staged_status_2026-04-20_082527.txt	3730	2026-04-20T08:25:28.3173621-05:00	4D4C4A50AC368D88E63A55860DB5627AFE46E89A7E9666A7908E3810A1F8B938
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase9_artifact_index_2026-04-20_082657.tsv	5193	2026-04-20T08:26:57.9274602-05:00	5231A2521F0AEAF421BF86F30BC2C1B22A2AACB1F4D8D5154E8EC518064EB8C7
C:\kb-search-api\evidence\nine_phase_2026-04-20\phase9_artifact_index_2026-04-20_082732.tsv	5390	2026-04-20T08:27:32.8931013-05:00	E352FC610530E7B1357A2D6D6D4D3C07C7C5BEB3BFB9D22F875E06CB6E0C7DB4
